# doping	kf	T	Mabs	Mabs_err	Chi	Chi_err	Tau
0.18	0.42	9.06667	0.172933	0.0194572	0.145004	0.0286549	13.3047
0.18	0.42	9.43333	0.158133	0.0218342	0.123675	0.0318741	15.9071
0.18	0.42	9.8	0.1558	0.0198284	0.115085	0.0255231	14.4952
0.18	0.42	10.1667	0.176867	0.0193497	0.136537	0.0254086	11.9371
0.18	0.42	10.5333	0.141933	0.0151447	0.0907964	0.0172202	9.77259
0.18	0.42	10.9	0.1424	0.0151519	0.0899202	0.0180162	9.25885
0.18	0.42	11.2667	0.156467	0.0186684	0.106339	0.0237988	11.271
0.18	0.42	11.6333	0.171333	0.0277293	0.119252	0.0348531	22.2652
0.18	0.42	12	0.157333	0.0219161	0.0953511	0.0225896	17.4849
0.18	0.5	1	0.160067	0.00523085	1.17903	0.0703462	1
0.18	0.5	1.36667	0.193067	0.0066821	1.30801	0.0843178	1
0.18	0.5	1.73333	0.21	0.00780677	1.19878	0.0798867	1.20807
0.18	0.5	2.1	0.200667	0.00942216	0.889295	0.0743651	2.0112
0.18	0.5	2.46667	0.183667	0.0101058	0.637069	0.0625182	2.72069
0.18	0.5	2.83333	0.1956	0.0143519	0.615631	0.0805914	5.17517
0.18	0.5	3.2	0.178933	0.0164297	0.484491	0.0793344	6.82089
0.18	0.5	3.56667	0.195933	0.0218899	0.483439	0.098868	12.3715
0.18	0.5	3.93333	0.165133	0.0150968	0.34019	0.0583759	6.24847
0.18	0.5	4.3	0.1714	0.0202357	0.325987	0.0672242	11.7131
0.18	0.5	4.66667	0.159533	0.0158807	0.272354	0.0474937	7.44955
0.18	0.5	5.03333	0.1656	0.0202992	0.253613	0.0670429	12.2774
0.18	0.5	5.4	0.150867	0.0155478	0.190015	0.0354048	8.87035
0.18	0.5	5.76667	0.176333	0.0227952	0.246494	0.0562914	15.6597
0.18	0.5	6.13333	0.1668	0.0177703	0.211998	0.0402426	10.1386
0.18	0.5	6.5	0.1754	0.0271937	0.214551	0.0588225	23.4821
0.18	0.5	6.86667	0.157533	0.0181557	0.161483	0.0332342	12.1059
0.18	0.5	7.23333	0.155	0.0207586	0.155505	0.0378147	15.7737
0.18	0.5	7.6	0.161467	0.0224632	0.163402	0.0415945	15.6043
0.18	0.5	7.96667	0.152733	0.0170886	0.135146	0.0267537	11.0156
0.18	0.5	8.33333	0.168067	0.0218527	0.146403	0.0323771	14.3739
0.18	0.5	8.7	0.166467	0.0240117	0.146324	0.0355386	19.3969
0.18	0.5	9.06667	0.153067	0.029285	0.11834	0.040689	31.1191
0.18	0.5	9.43333	0.147	0.0178868	0.108012	0.0237148	12.3307
0.18	0.5	9.8	0.147667	0.0194481	0.105004	0.0242421	15.0635
0.18	0.5	10.1667	0.1532	0.0219595	0.10677	0.0266091	18.699
0.18	0.5	10.5333	0.1478	0.0192474	0.0984151	0.0228697	14.5627
0.18	0.5	10.9	0.144533	0.0222084	0.0924925	0.0255048	19.2543
